Series_Title,Released_Year,Country
Star Trek,2009,USA
In Bruges,2008,UK
The Man from Earth,2007,USA
Letters from Iwo Jima,2006,USA
The Fall,2006,UK
Life of Pi,2012,USA
Fantastic Mr. Fox,2009,USA
C.R.A.Z.Y.,2005,Canada
Les choristes,2004,France
Iron Man,2008,USA
Shaun of the Dead,2004,UK
Gegen die Wand,2004,Germany
Mystic River,2003,USA
Harry Potter and the Prisoner of Azkaban,2004,UK
Ying xiong,2002,China
Hable con ella,2002,Spain
No Man's Land,2001,Bosnia and Herzegovina
Cowboy Bebop: Tengoku no tobira,2001,Japan
The Bourne Identity,2002,USA
Nueve reinas,2000,Argentina
Children of Men,2006,UK
Almost Famous,2000,USA
Mulholland Dr.,2001,USA
Toy Story 2,1999,USA
Boogie Nights,1997,USA
Mimi wo sumaseba,1995,Japan
Once Were Warriors,1994,New Zealand
True Romance,1993,USA
Trois couleurs: Bleu,1993,France
Jûbê ninpûchô,1993,Japan
Carlito's Way,1993,USA
Edward Scissorhands,1990,USA
My Left Foot: The Story of Christy Brown,1989,Ireland
Crimes and Misdemeanors,1989,USA
The Untouchables,1987,USA
Hannah and Her Sisters,1986,USA
Brazil,1985,UK
This Is Spinal Tap,1984,USA
A Christmas Story,1983,USA
The Blues Brothers,1980,USA
Manhattan,1979,USA
All That Jazz,1979,USA
Dawn of the Dead,1978,USA
All the President's Men,1976,USA
La montaña sagrada,1973,Mexico
Amarcord,1973,Italy
Le charme discret de la bourgeoisie,1972,France
"Aguirre, der Zorn Gottes",1972,Germany
Harold and Maude,1971,USA
Patton,1970,USA
The Wild Bunch,1969,USA
Night of the Living Dead,1968,USA
The Lion in Winter,1968,UK
In the Heat of the Night,1967,USA
Charade,1963,USA
The Manchurian Candidate,1962,USA
Spartacus,1960,USA
L'avventura,1960,Italy
Hiroshima mon amour,1959,France
The Ten Commandments,1956,USA
The Searchers,1956,USA
East of Eden,1955,USA
High Noon,1952,USA
Strangers on a Train,1951,USA
Harvey,1950,USA
Miracle on 34th Street,1947,USA
Notorious,1946,USA
The Big Sleep,1946,USA
The Lost Weekend,1945,USA
The Philadelphia Story,1940,USA
His Girl Friday,1940,USA
The Adventures of Robin Hood,1938,USA
A Night at the Opera,1935,USA
King Kong,1933,USA
Freaks,1932,USA
Nosferatu,1922,Germany
The Gentlemen,2019,UK
Raazi,2018,India
Sound of Metal,2019,USA
Forushande,2016,Iran
Dunkirk,2017,UK
Perfetti sconosciuti,2016,Italy
Hidden Figures,2016,USA
Paddington 2,2017,UK
Udta Punjab,2016,India
Kubo and the Two Strings,2016,USA
M.S. Dhoni: The Untold Story,2016,India
Manchester by the Sea,2016,USA
Under sandet,2015,Denmark
Rogue One,2016,USA
Captain America: Civil War,2016,USA
The Hateful Eight,2015,USA
Little Women,2019,USA
Loving Vincent,2017,UK
Pride,2014,UK
Le passé,2013,France
La grande bellezza,2013,Italy
The Lunchbox,2013,India
Vicky Donor,2012,India
Big Hero 6,2014,USA
About Time,2013,UK
English Vinglish,2012,India
Kaze tachinu,2013,Japan
Toy Story 4,2019,USA
La migliore offerta,2013,Italy
Moonrise Kingdom,2012,USA
How to Train Your Dragon 2,2014,USA
The Big Short,2015,USA
Kokuhaku,2010,Japan
Ang-ma-reul bo-at-da,2010,South Korea
The Girl with the Dragon Tattoo,2011,USA
Captain Phillips,2013,USA
Ajeossi,2010,South Korea
Straight Outta Compton,2015,USA
Madeo,2009,South Korea
Chugyeokja,2008,South Korea
The Hobbit: The Desolation of Smaug,2013,USA
Das weiße Band - Eine deutsche Kindergeschichte,2009,Germany
Män som hatar kvinnor,2009,Sweden
The Trial of the Chicago 7,2020,USA
Druk,2020,Denmark
The Fighter,2010,USA
Taken,2008,France
The Boy in the Striped Pyjamas,2008,UK
Once,2007,Ireland
The Hobbit: An Unexpected Journey,2012,USA
Auf der anderen Seite,2007,Germany
Atonement,2007,UK
Drive,2011,USA
American Gangster,2007,USA
Avatar,2009,USA
Mr. Nobody,2009,Belgium
Apocalypto,2006,USA
Little Miss Sunshine,2006,USA
Hot Fuzz,2007,UK
The Curious Case of Benjamin Button,2008,USA
Veer-Zaara,2004,India
Adams æbler,2005,Denmark
Pride & Prejudice,2005,UK
The World's Fastest Indian,2005,New Zealand
Tôkyô goddofâzâzu,2003,Japan
Serenity,2005,USA
Walk the Line,2005,USA
Ondskan,2003,Sweden
The Notebook,2004,USA
Diarios de motocicleta,2004,Argentina
Lilja 4-ever,2002,Sweden
Les triplettes de Belleville,2003,France
Gongdong gyeongbi guyeok JSA,2000,South Korea
The Count of Monte Cristo,2002,USA
Waking Life,2001,USA
Remember the Titans,2000,USA
Wo hu cang long,2000,Taiwan
Todo sobre mi madre,1999,Spain
Cast Away,2000,USA
The Boondock Saints,1999,USA
The Insider,1999,USA
October Sky,1999,USA
Shrek,2001,USA
Titanic,1997,USA
Hana-bi,1997,Japan
Gattaca,1997,USA
The Game,1997,USA
Breaking the Waves,1996,Denmark
Ed Wood,1994,USA
What's Eating Gilbert Grape,1993,USA
Tombstone,1993,USA
The Sandlot,1993,USA
The Remains of the Day,1993,UK
Naked,1993,UK
The Fugitive,1993,USA
A Bronx Tale,1993,USA
Batman: Mask of the Phantasm,1993,USA
Lat sau san taam,1992,Hong Kong
Night on Earth,1991,USA
La double vie de Véronique,1991,France
Boyz n the Hood,1991,USA
Misery,1990,USA
Awakenings,1990,USA
Majo no takkyûbin,1989,Japan
Glory,1989,USA
Dip huet seung hung,1989,Hong Kong
Back to the Future Part II,1989,USA
Mississippi Burning,1988,USA
Predator,1987,USA
Evil Dead II,1987,USA
Ferris Bueller's Day Off,1986,USA
Down by Law,1986,USA
The Goonies,1985,USA
The Color Purple,1985,USA
The Breakfast Club,1985,USA
The Killing Fields,1984,UK
Ghostbusters,1984,USA
The Right Stuff,1983,USA
The King of Comedy,1982,USA
E.T. the Extra-Terrestrial,1982,USA
Kramer vs. Kramer,1979,USA
Days of Heaven,1978,USA
The Outlaw Josey Wales,1976,USA
The Man Who Would Be King,1975,UK
The Conversation,1974,USA
La planète sauvage,1973,France
The Day of the Jackal,1973,UK
Badlands,1973,USA
Cabaret,1972,USA
Willy Wonka & the Chocolate Factory,1971,USA
Midnight Cowboy,1969,USA
Wait Until Dark,1967,USA
Guess Who's Coming to Dinner,1967,USA
Bonnie and Clyde,1967,USA
My Fair Lady,1964,UK
Mary Poppins,1964,USA
The Longest Day,1962,USA
Jules et Jim,1962,France
The Innocents,1961,UK
À bout de souffle,1960,France
Red River,1948,USA
Key Largo,1948,USA
To Have and Have Not,1944,USA
Shadow of a Doubt,1943,USA
Stagecoach,1939,USA
The Lady Vanishes,1938,UK
Bringing Up Baby,1938,USA
Bride of Frankenstein,1935,USA
Duck Soup,1933,USA
Scarface: The Shame of the Nation,1932,USA
Frankenstein,1931,USA
Roma,2018,Mexico
God's Own Country,2017,UK
Deadpool 2,2018,USA
Wind River,2017,USA
Get Out,2017,USA
Mission: Impossible - Fallout,2018,USA
En man som heter Ove,2015,Sweden
What We Do in the Shadows,2014,New Zealand
Omoide no Mânî,2014,Japan
The Theory of Everything,2014,UK
Kingsman: The Secret Service,2014,UK
The Fault in Our Stars,2014,USA
Me and Earl and the Dying Girl,2015,USA
Birdman or (The Unexpected Virtue of Ignorance),2014,USA
La vie d'Adèle,2013,France
Kai po che!,2013,India
The Broken Circle Breakdown,2012,Belgium
Captain America: The Winter Soldier,2014,USA
Rockstar,2011,India
Nebraska,2013,USA
Wreck-It Ralph,2012,USA
Le Petit Prince,2015,France
Detachment,2011,USA
Midnight in Paris,2011,USA
The Lego Movie,2014,USA
Gravity,2013,USA
Star Trek Into Darkness,2013,USA
Beasts of No Nation,2015,USA
The Social Network,2010,USA
X: First Class,2011,USA
The Hangover,2009,USA
Skyfall,2012,UK
Silver Linings Playbook,2012,USA
Argo,2012,USA
(500) Days of Summer,2009,USA
Harry Potter and the Deathly Hallows: Part 1,2010,UK
Gake no ue no Ponyo,2008,Japan
Frost/Nixon,2008,USA
Papurika,2006,Japan
Changeling,2008,USA
Flipped,2010,USA
Toki o kakeru shôjo,2006,Japan
Death Note: Desu nôto,2006,Japan
This Is England,2006,UK
Ex Machina,2014,UK
Efter brylluppet,2006,Denmark
The Last King of Scotland,2006,UK
Zodiac,2007,USA
Lucky Number Slevin,2006,USA
Joyeux Noël,2005,France
Control,2007,UK
Tangled,2010,USA
Zwartboek,2006,Netherlands
Brokeback Mountain,2005,USA
3:10 to Yuma,2007,USA
Crash,2004,USA
Kung fu,2004,China
The Bourne Supremacy,2004,USA
The Machinist,2004,Spain
Ray,2004,USA
Lost in Translation,2003,USA
Harry Potter and the Goblet of Fire,2005,UK
Man on Fire,2004,USA
Coraline,2009,USA
The Last Samurai,2003,USA
The Magdalene Sisters,2002,Ireland
Good Bye Lenin!,2003,Germany
In America,2002,Ireland
I Am Sam,2001,USA
Adaptation.,2002,USA
Black Hawk Down,2001,USA
Road to Perdition,2002,USA
Das Experiment,2001,Germany
Billy Elliot,2000,UK
Hedwig and the Angry Inch,2001,USA
Ocean's Eleven,2001,USA
Vampire Hunter D: Bloodlust,2000,Japan
"O Brother, Where Art Thou?",2000,USA
Interstate 60: Episodes of the Road,2002,USA
"South Park: Bigger, Longer & Uncut",1999,USA
Office Space,1999,USA
Happiness,1998,USA
Training Day,2001,USA
Rushmore,1998,USA
Abre los ojos,1997,Spain
Being John Malkovich,1999,USA
As Good as It Gets,1997,USA
The Fifth Element,1997,France
Le dîner de cons,1998,France
Donnie Brasco,1997,USA
Shine,1996,Australia
Primal Fear,1996,USA
Hamlet,1996,UK
A Little Princess,1995,USA
Do lok tin si,1995,Hong Kong
Il postino,1994,Italy
Clerks,1994,USA
Short Cuts,1993,USA
Philadelphia,1993,USA
The Muppet Christmas Carol,1992,USA
Malcolm X,1992,USA
The Last of the Mohicans,1992,USA
Kurenai no buta,1992,Japan
Glengarry Glen Ross,1992,USA
A Few Good Men,1992,USA
Fried Green Tomatoes,1991,USA
Barton Fink,1991,USA
Miller's Crossing,1990,USA
Who Framed Roger Rabbit,1988,USA
Spoorloos,1988,Netherlands
Withnail & I,1987,UK
The Last Emperor,1987,Italy
Empire of the Sun,1987,USA
Der Name der Rose,1986,Germany
Blue Velvet,1986,USA
The Purple Rose of Cairo,1985,USA
After Hours,1985,USA
Zelig,1983,USA
The Verdict,1982,USA
Star Trek II: The Wrath of Khan,1982,USA
First Blood,1982,USA
Ordinary People,1980,USA
Airplane!,1980,USA
Rupan sansei: Kariosutoro no shiro,1979,Japan
Halloween,1978,USA
Le locataire,1976,France
Love and Death,1975,USA
The Taking of Pelham One Two Three,1974,USA
Blazing Saddles,1974,USA
Serpico,1973,USA
Enter the Dragon,1973,Hong Kong
Deliverance,1972,USA
The French Connection,1971,USA
Dirty Harry,1971,USA
Where Eagles Dare,1968,UK
The Odd Couple,1968,USA
The Dirty Dozen,1967,USA
Belle de jour,1967,France
A Man for All Seasons,1966,UK
Repulsion,1965,UK
Zulu,1964,UK
Goldfinger,1964,UK
The Birds,1963,USA
Cape Fear,1962,USA
Peeping Tom,1960,UK
The Magnificent Seven,1960,USA
Les yeux sans visage,1960,France
Invasion of the Body Snatchers,1956,USA
Rebel Without a Cause,1955,USA
The Ladykillers,1955,UK
Sabrina,1954,USA
The Quiet Man,1952,USA
The Day the Earth Stood Still,1951,USA
The African Queen,1951,USA
Gilda,1946,USA
Fantasia,1940,USA
The Invisible Man,1933,USA
Dark Waters,2019,USA
Searching,2018,USA
Once Upon a Time... in Hollywood,2019,USA
Nelyubov,2017,Russia
The Florida Project,2017,USA
Just Mercy,2019,USA
Gifted,2017,USA
The Peanut Butter Falcon,2019,USA
Victoria,2015,Germany
Mustang,2015,France
Guardians of the Galaxy Vol. 2,2017,USA
Baby Driver,2017,USA
Only the Brave,2017,USA
Bridge of Spies,2015,USA
Incredibles 2,2018,USA
Moana,2016,USA
Sicario,2015,USA
Creed,2015,USA
Leviafan,2014,Russia
Hell or High Water,2016,USA
Philomena,2013,UK
Dawn of the Planet of the Apes,2014,USA
El cuerpo,2012,Spain
Serbuan maut,2011,Indonesia
End of Watch,2012,USA
Kari-gurashi no Arietti,2010,Japan
A Star Is Born,2018,USA
True Grit,2010,USA
Hævnen,2010,Denmark
Despicable Me,2010,USA
50/50,2011,USA
Kick-Ass,2010,USA
Celda 211,2009,Spain
Moneyball,2011,USA
La piel que habito,2011,Spain
Zombieland,2009,USA
Die Welle,2008,Germany
Sherlock Holmes,2009,USA
The Blind Side,2009,USA
The Visitor,2007,USA
Seven Pounds,2008,USA
Eastern Promises,2007,UK
Stardust,2007,UK
The Secret of Kells,2009,Ireland
Inside Man,2006,USA
Gone Baby Gone,2007,USA
La Vie En Rose,2007,France
Huo Yuan Jia,2006,China
The Illusionist,2006,USA
Dead Man's Shoes,2004,UK
Harry Potter and the Half-Blood Prince,2009,UK
300,2006,USA
Match Point,2005,UK
Watchmen,2009,USA
Lord of War,2005,USA
Saw,2004,USA
"Synecdoche, New York",2008,USA
Mysterious Skin,2004,USA
Jeux d'enfants,2003,France
Un long dimanche de fiançailles,2004,France
The Station Agent,2003,USA
21 Grams,2003,USA
Boksuneun naui geot,2002,South Korea
Finding Neverland,2004,UK
25th Hour,2002,USA
The Butterfly Effect,2004,USA
28 Days Later...,2002,UK
Batoru rowaiaru,2000,Japan
The Royal Tenenbaums,2001,USA
Y tu mamá también,2001,Mexico
Harry Potter and the Sorcerer's Stone,2001,UK
The Others,2001,Spain
Blow,2001,USA
Enemy at the Gates,2001,USA
Minority Report,2002,USA
The Hurricane,1999,USA
American Psycho,2000,USA
Lola rennt,1998,Germany
The Thin Red Line,1998,USA
Mulan,1998,USA
Fear and Loathing in Las Vegas,1998,USA
Funny Games,1997,Austria
Dark City,1998,USA
Sleepers,1996,USA
Lost Highway,1997,France
Sense and Sensibility,1995,UK
Die Hard: With a Vengeance,1995,USA
Dead Man,1995,USA
The Bridges of Madison County,1995,USA
Apollo 13,PG,USA
Trois couleurs: Blanc,1994,France
Falling Down,1993,USA
Dazed and Confused,1993,USA
My Cousin Vinny,1992,USA
Omohide poro poro,1991,Japan
Delicatessen,1991,France
Home Alone,1990,USA
The Godfather: Part III,1990,USA
When Harry Met Sally...,1989,USA
The Little Mermaid,1989,USA
The Naked Gun: From the Files of Police Squad!,1988,USA
"Planes, Trains & Automobiles",1987,USA
Lethal Weapon,1987,USA
Blood Simple,1984,USA
On Golden Pond,1981,USA
Mad Max 2,1981,Australia
The Warriors,1979,USA
The Muppet Movie,1979,USA
Escape from Alcatraz,1979,USA
Watership Down,1978,UK
Midnight Express,1978,USA
Close Encounters of the Third Kind,1977,USA
The Long Goodbye,1973,USA
Giù la testa,1971,Italy
Kelly's Heroes,1970,USA
The Jungle Book,1967,USA
Blowup,1966,UK
A Hard Day's Night,1964,UK
Breakfast at Tiffany's,1961,USA
Giant,1956,USA
From Here to Eternity,1953,USA
Lifeboat,1944,USA
The 39 Steps,1935,UK